instrument,datetime,$close,$volume
SH600000,2010-06-23,6.728162,82919310.0
SH600000,2010-06-24,6.770655,72830600.0
SH600000,2010-06-25,6.798986,68909304.0
SH600000,2010-06-28,6.81315,103632040.0
SH600000,2010-06-29,6.496806,138715420.0
SH600000,2010-06-30,6.421264,73194590.0
SH600000,2010-07-01,6.374048,69870024.0
SH600000,2010-07-02,6.4543147,94853580.0
SH600000,2010-07-05,6.388213,76224600.0
SH600000,2010-07-06,6.529858,106258010.0
SH600000,2010-07-07,6.496806,71962760.0
SH600000,2010-07-08,6.5109715,95523920.0
SH600000,2010-07-09,6.71872,162778990.0
SH600000,2010-07-12,6.81315,123475490.0
SH600000,2010-07-13,6.69039,95125680.0
SH600000,2010-07-14,6.8037066,127847336.0
SH600000,2010-07-15,6.657339,100519176.0
SH600000,2010-07-16,6.680948,86608430.0
SH600000,2010-07-19,6.8603654,139168580.0
SH600000,2010-07-20,6.9170237,167473150.0
SH600000,2010-07-21,6.9170237,95101800.0
SH600000,2010-07-22,6.987846,119684776.0
SH600000,2010-07-23,7.044504,162657870.0
SH600000,2010-07-26,7.0303392,85501220.0
SH600000,2010-07-27,6.8981376,110352904.0
SH600000,2010-07-28,7.1153274,181154100.0
SH600000,2010-07-29,7.120049,147514930.0
SH600000,2010-07-30,7.072833,70068860.0
SH600000,2010-08-02,7.2239223,138559280.0
SH600000,2010-08-03,7.0397835,133123850.0
SH600000,2010-08-04,6.9831243,159419070.0
SH600000,2010-08-05,6.8603654,136526220.0
SH600000,2010-08-06,6.9359097,135346910.0
SH600000,2010-08-09,6.8934145,139399650.0
SH600000,2010-08-10,6.643175,150237470.0
SH600000,2010-08-11,6.666783,85112410.0
SH600000,2010-08-12,6.5581875,110330696.0
SH600000,2010-08-13,6.6054025,137928080.0
SH600000,2010-08-16,6.75177,148888740.0
SH600000,2010-08-17,6.8037066,123435090.0
SH600000,2010-08-18,6.75177,153483630.0
SH600000,2010-08-19,6.8225927,188298700.0
SH600000,2010-08-20,6.699834,132334980.0
SH600000,2010-08-23,6.770655,121836250.0
SH600000,2010-08-24,6.7895412,102205416.0
SH600000,2010-08-25,6.6242886,104837480.0
SH600000,2010-08-26,6.595959,62912336.0
SH600000,2010-08-27,6.6006823,75503170.0
SH600000,2010-08-30,6.657339,110272210.0
SH600000,2010-08-31,6.6054025,108679060.0
SH600000,2010-09-01,6.6054025,191631790.0
SH600000,2010-09-02,6.643175,143373680.0
SH600000,2010-09-03,6.586517,131089770.0
SH600000,2010-09-06,6.71872,221500690.0
SH600000,2010-09-07,6.6856685,123341360.0
SH600000,2010-09-08,6.5581875,182501680.0
SH600000,2010-09-09,6.392934,236080130.0
SH600000,2010-09-10,6.378771,113121570.0
SH600000,2010-09-13,6.369327,153366660.0
SH600000,2010-09-14,6.374048,130580584.0
SH600000,2010-09-15,6.2937827,95014250.0
SH600000,2010-09-16,6.1474156,155541310.0
SH600000,2010-09-17,6.1190877,91666770.0
SH600000,2010-09-20,,
SH600000,2010-09-21,6.109644,71314930.0
SH600000,2010-09-27,6.104922,91503820.0
SH600000,2010-09-28,5.9396696,135524480.0
SH600000,2010-09-29,5.897174,169260210.0
SH600000,2010-09-30,6.1190877,161855890.0
SH600000,2010-10-08,6.3079467,210193730.0
SH600000,2010-10-11,6.5581875,356326700.0
SH600000,2010-10-12,6.5912375,230708000.0
SH600000,2010-10-13,6.8178706,448409540.0
SH600000,2010-10-14,6.7942634,464893950.0
SH600000,2010-10-15,7.2003136,597289100.0
SH600000,2010-10-18,7.247529,565703100.0
SH600000,2010-10-19,7.2522507,305414880.0
SH600000,2010-10-20,7.2097573,393449440.0
SH600000,2010-10-21,6.9359097,318596830.0
SH600000,2010-10-22,6.8698077,232756740.0
SH600000,2010-10-25,6.9500732,303874000.0
SH600000,2010-10-26,6.9028587,228293470.0
SH600000,2010-10-27,6.81315,257426620.0
SH600000,2010-10-28,6.8792515,210354930.0
SH600000,2010-10-29,6.836756,205920660.0
SH600000,2010-11-01,6.9170237,246194480.0
SH600000,2010-11-02,6.846201,291380100.0
SH600000,2010-11-03,6.9359097,408613730.0
SH600000,2010-11-04,6.9406304,337687400.0
SH600000,2010-11-05,6.9500732,313995700.0
SH600000,2010-11-08,7.0397835,336755780.0
SH600000,2010-11-09,6.850922,357284640.0
SH600000,2010-11-10,6.666783,393219870.0
SH600000,2010-11-11,6.7234406,298084580.0
SH600000,2010-11-12,6.31739,344102880.0
SH600000,2010-11-15,6.388213,216733070.0
SH600000,2010-11-16,6.152137,214647820.0
SH600000,2010-11-17,6.1993537,188363900.0
SH600000,2010-11-18,6.2276816,109854630.0
SH600000,2010-11-19,6.1946306,169914820.0
SH600000,2010-11-22,6.0765934,173400370.0
SH600000,2010-11-23,5.977441,174804860.0
SH600000,2010-11-24,6.0388207,125738000.0
SH600000,2010-11-25,6.137973,181194270.0
SH600000,2010-11-26,6.1568584,152853780.0
SH600000,2010-11-29,6.1190877,94156590.0
SH600000,2010-11-30,5.991605,149243360.0
SH600000,2010-12-01,6.0152135,67137950.0
SH600000,2010-12-02,6.0388207,98984296.0
SH600000,2010-12-03,6.0529857,71083656.0
SH600000,2010-12-06,6.161581,142398960.0
SH600000,2010-12-07,6.1663013,106683976.0
SH600000,2010-12-08,6.095479,98220984.0
SH600000,2010-12-09,5.996326,106009230.0
SH600000,2010-12-10,6.0340986,71845360.0
SH600000,2010-12-13,6.137973,177658900.0
SH600000,2010-12-14,6.114365,116126820.0
SH600000,2010-12-15,6.109644,152579040.0
SH600000,2010-12-16,6.0388207,128673640.0
SH600000,2010-12-17,6.005771,121543420.0
SH600000,2010-12-20,5.8688464,194496340.0
SH600000,2010-12-21,6.0388207,205984580.0
SH600000,2010-12-22,5.9207826,122921304.0
